hash,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_PriPro_no_bin_no_proof,CaDiCaL_PriPro_no_proof,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,clasp_336_HC_no_proof,clasp_336_HC_no_proof_crafty,clasp_336_HC_no_proof_frumpy,clasp_336_HC_no_proof_handy,clasp_336_HC_no_proof_jumpy,clasp_336_HC_no_proof_many,clasp_336_HC_no_proof_trendy,clasp_336_HC_no_proof_tweety,CleanMaple,CleanMaple_no_proof,CleanMaple_PriPro,CleanMaple_PriPro_no_proof,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,MergeSat,MergeSat_nosimp,MergeSat_unsat,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
1a3254cb7b54789fdd4d56bfaaa38df7,satch2ways18wu.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,failed,failed,failed,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
1b8c45c42a818db8f62bcbfd6f52c881,sp5-21-15-bin-stri-tree-noid.cnf.xz,412.084,297.486,295.303,283.856,292.437,761.973,171.459,909.23,597.23,162.549,809.112,507.128,138.267,342.521,230.302,162.668,491.361,495.883,508.253,2406.8,2400.58,1327.39,1323.36,57.6829,870.251,800.203,49.9277,387.619,55.9418,593.8,15.7834,419.735,337.495,545.323,466.047,722.934,473.08,408.244,74.7752,336.932,343.078,657.712,243.153,434.489,285.65,287.002,637.738,160.212,334.865,502,437.281,79.5308,395.639,1240.35,361.198,93.6616,289.72,173.852,285.195,271.944,51.3011
1bb9929010e0c209f1e59dedba54d9ad,edit_distance023_282.cnf.xz,706.177,626.977,613.548,616.958,618.43,735.944,203.347,759.067,848.368,220.157,732.603,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,909.186,3781.28,141.257,timeout,1029.26,timeout,timeout,659.917,1102.69,304.486,252.115,1507.21,259.01,2237.51,837.308,651.509,925.806,951.906,2065.32,2268.19,1074.13,1081.6,timeout,timeout,timeout,1083.55,933.591,1236.02,278.849,1196.16,1248.64,300.643,624.553,553.106,1140.34,479.293,394.78
1c35c510ad106bfcdbc76ff49e710ce6,ER_500_40_2.apx_0.cnf.xz,265.883,233.055,231.788,220.542,220.091,268.257,71.3783,441.11,1277.14,284.418,310.607,80.7523,44.8511,76.3265,110.081,90.5194,74.9301,81.4933,148.556,1406.22,1402.43,1566.92,1560.8,234.004,287.401,211.953,319.215,358.515,286.563,299.935,317.991,327.29,330.41,320.345,45.674,88.7863,46.4323,204.275,176.523,174.039,179.661,179.398,153.973,129.054,335.022,333.629,316.54,154.75,167.505,320.023,305.235,437.078,465.745,486.184,124.489,212.015,timeout,181.341,175.74,177.856,173.64
1ce81dbba1292bf791e194b17aa2a219,satch2ways15u.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,3405.28,4568.25,3157.07,3796.51,2645.8,2906.26,2513.59,3408.38,3136.38,1855.56,2798.26,3754.63,3809.16,timeout,4130.9,4116.67,timeout,1506.34,failed,failed,failed,timeout,timeout,3856.04,3054.93,timeout,timeout,timeout,timeout,3893.66,timeout,4349.61,4605.95,timeout,3918.66
1d72814d7329f6d6213a7397ed366fe9,Circuit_multiplier37.cnf.xz,25.0495,11.8597,11.9053,11.6743,11.6337,94.7674,109.268,54.6884,415.583,130.099,77.0461,130.069,372.041,462.939,20.5691,1728.49,130.067,130.276,2129.17,1012.52,1011.56,804.066,797.811,400.406,69.1231,14.1146,146.52,46.999,8.23175,61.8472,16.788,58.5407,50.264,45.975,47.3771,52.8152,8.60594,10.876,89.9479,75.5712,72.9522,75.4609,125.572,26.7825,184.44,182.859,1951.95,123.334,123.689,23.1743,11.0389,71.4064,24.9115,101.584,345.061,147.51,2363.32,64.1201,56.0396,179.029,138.137
1dce69ee6685597d6c56e5fd7a47f8e0,SC21_Timetable_C_136_E_41_Cl_9_S_15.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,failed,failed,failed,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
21fbe69cf7c0b41e205b52d970f9a43a,string_compare_safety_cbmc_unwinding_870.cnf.xz,1547.21,1467.13,1529.59,1452.87,1461.9,1393.09,1143.73,1378.81,2350.77,1555.4,1487.89,4671.68,timeout,timeout,timeout,timeout,4675.99,4765.33,timeout,timeout,timeout,timeout,timeout,3329.6,1047.56,1438.43,1516.91,1130.2,1330.93,1116.56,1439.24,1255.51,1456.74,1961.01,1943.33,2604.38,2008.89,3095.68,3981.27,3622.41,4148.96,3791.89,3641.78,3758.56,failed,failed,failed,3854.34,3310.03,timeout,timeout,timeout,4921.54,timeout,timeout,2562.14,timeout,4440.27,4158.89,4101.15,4786.28
22505280326ec66ba807b8b4edc48e1a,Circuit_multiplier18.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,684.234,timeout,timeout,4570.99,timeout,3872.56,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
2260d28ec773357e73e5ee60aeac0f43,b2005-p1-12x12c10h7-Ser3-0.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
