hash,filename,mergehordesat,mallobhc,mallob,slime,pmcompspsmpi,pmcomspscommpi,paracooba
a0585897e79756b9624673592d13ee06,spg_200_317.cnf.xz,97.45,16.81,35.04,66.70,129.51,128.74,timeout
a1ec978756e656638b7e34cef5ecaf6d,quad_res_r26_m27.cnf.xz,timeout,timeout,timeout,memout,timeout,timeout,memout
a25ab09df5485a3d91089a08def4921e,b2005-p3-12x12c10h7-Ser7-0.cnf.xz,memout,136.39,timeout,memout,timeout,timeout,memout
a3d7585b12914a97d9c11d65897194b9,20-100-lambda100-47_unsat.cnf.xz,320.84,6.10,52.78,535.45,213.96,202.68,442.38
a3eaa99154b0f1668f8593264e6e304d,MVD_ADS_S11_8_7.cnf.xz,9.10,3.30,2.44,845.69,4268.64,timeout,0.95
a45d7a611305683a8db8c385ac7cee31,vlsat2_11_26.cnf.xz,timeout,2.91,167.45,memout,1089.81,971.92,memout
a4aa9ccc565c5cde0cfb5dfd9f4deaf4,Kakuro-easy-127-ext.xml.hg_7.cnf.xz,memout,24.59,memout,351.31,memout,memout,523.68
a517589810ff3ef5308a694957939bea,spg_200_321.cnf.xz,132.45,1.91,19.66,39.77,67.97,64.35,47.46
a7aac5c83f236fd8b3de3275e3f5499d,edit_distance041_183.cnf.xz,78.84,103.03,14.32,168.88,71.41,60.60,275.45
a7dc4646f1472f466a2c33340eb24bd5,sokoban-p20.sas.ex.13.cnf.xz,memout,51.58,232.81,timeout,memout,memout,memout
a899e769ba329f5f952a38973adc0262,satch2ways13wu.cnf.xz,167.74,2.32,12.90,88.07,90.59,96.04,391.42
a8b6af92314b321b3614ded2da24b2dd,ecarev-110-4099-22-30-4.cnf.xz,timeout,timeout,386.64,455.31,276.04,278.29,429.48
a8c50e130aa5eb28d4b66b205a9d718a,mp1-blockpuzzle_9x9_s5_free3.cnf.xz,240.46,timeout,19.54,89.53,84.38,119.96,memout
a8c6f24ce9bc4ae6953763a82835e2d4,quad_res_r31_m35.cnf.xz,timeout,17.53,memout,memout,timeout,timeout,memout
a97d498dd69d346aad64f3809b5ff160,quad_res_r32_m35.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,memout
a9c0f64594a3eaede246b31eb3bc839b,mp1-Nb6T06.cnf.xz,31.09,2.00,7.53,73.18,10.89,10.35,30.43
aa09403249f021450cc798cc560a14a3,prime_a20_b20.cnf.xz,11.25,21.13,2.09,11.39,4.94,memout,14.94
aa1061e9becd2894b95cac19ea1ca72a,test_v7_r12_vr1_c1_s10576.smt2.cnf.xz,345.87,11.56,73.49,276.37,142.23,154.33,162.03
aa296db0e5a58249734a370ef5eee0cd,at-least-two-traffic_pcb_unknown.cnf.xz,111.57,9.31,21.45,266.55,84.01,memout,273.67
aa6994af851710b3d1f485e87ba99f84,Nb51T6.cnf.xz,memout,600.75,107.02,timeout,memout,memout,timeout
aad5bbe8920c5afc84068bb1da27ee8f,LABS_n041_goal003.cnf.xz,67.87,56.00,17.21,115.98,19.92,16.62,23.84
ac3e3bb744e258282990aa4307c08cb8,E00X23.cnf.xz,442.33,129.47,164.10,memout,timeout,timeout,memout
ac6256657058fe65dc7ddaf773ab83bf,SC21_Timetable_C_527_E_71_Cl_35_S_35.cnf.xz,352.60,208.92,160.79,155.75,114.53,137.49,181.99
ac909ca2e27006f71389b6afa605f4be,randomG-B-Mix-n19-d05.cnf.xz,timeout,2.31,memout,memout,timeout,timeout,timeout
ae172b720ce980b1ec5337bfd7d5a8ff,LABS_n072_goal006.cnf.xz,348.10,17.93,64.65,221.61,44.20,20.23,160.44
ae17bcd042e6140aa72a2cd9f4c42b9c,vlsat2_37758_5364539.dimacs.cnf.xz,125.47,2.31,5.68,169.28,3576.97,timeout,timeout
af0b8f58d67dcf639232ac978defe6e3,sted1_0x1e3-393.cnf.xz,940.93,21.28,46.43,60.47,635.96,673.61,memout
afaee41956622725cf3bb98db6ff9bbb,SC21_Timetable_C_241_E_34_Cl_16_S_13.cnf.xz,memout,timeout,memout,timeout,timeout,timeout,timeout
b023ea0eb9adbd9182c01d7e2d443289,mp1-tri_ali_s11_c35_bail_UNS.cnf.xz,45.98,48.20,7.94,95.69,28.72,24.25,138.48
b1770a04ee8e33b42f589e31da819ad5,bvsmod_19.smt2.cnf.xz,timeout,324.05,352.08,timeout,timeout,timeout,memout
b2c92aebc75da8a15a5388b559b85623,sp4-33-una-stri-flat-noid.cnf.xz,358.91,21.23,8.93,115.59,58.25,47.35,221.83
b3cf73d0383f781adf09a2192fa03a15,string_compare_safety_cbmc_unwinding_670.cnf.xz,memout,timeout,132.32,timeout,memout,memout,timeout
b5028686db9bd1073fa09cbd8c805f47,spg_200_316.cnf.xz,139.84,13.84,124.43,52.36,86.47,102.60,49.52
b51ebbe57d4077a5fa43018ff3920588,20-100-frag12-53_sat.cnf.xz,232.92,16.73,memout,145.61,200.63,145.68,99.04
b5c3e33e90f4c95502754c7e2e92a6d2,randomG-B-Mix-n16-d05.cnf.xz,254.74,16.33,19.14,961.56,101.77,87.01,timeout
b63f00e3eccd98dfa7bae6c4e1e0cdd0,at-least-two-maris-s03-gripper11.cnf.xz,83.61,35.18,14.93,60.07,21.68,32.45,memout
b655faa69774192a80d9e2a2bc602ce4,Kakuro-easy-115-ext.xml.hg_5.cnf.xz,memout,8.51,80.98,368.75,memout,memout,370.22
b72179b73f013a009f4bb68c4bf31c8b,Kakuro-easy-104-ext.xml.hg_6.cnf.xz,memout,timeout,44.37,192.26,memout,memout,195.16
b83b05e814486aaedb19da69fb35ece1,satch2ways14u.cnf.xz,418.99,31.56,36.15,209.13,233.98,340.65,1014.31
b88d206fb35ef87bd7ec5d4a1430ae0c,20-100-p100-55_sat.cnf.xz,102.90,timeout,96.61,882.76,335.37,759.57,803.38
b8debf719be5558b319002cc9c2faf18,barman-pfile10-040.sas.ex.15.cnf.xz,117.80,39.96,24.27,memout,timeout,timeout,99.22
b9ed6fd14f4fc969ec966a4b54c36872,n320p5q2_n.apx_16.cnf.xz,19.36,7.31,1.69,20.24,6.50,4.90,16.31
ba5451cace1bb09e2d36b9f34c19146e,ctl_4291_567_6_unsat_pre.cnf.xz,timeout,70.19,233.44,timeout,memout,643.80,memout
bc5b6fdc1a75e144e42d68c0fba444ad,SC21_Timetable_C_181_E_34_Cl_12_S_8.cnf.xz,timeout,6.18,timeout,timeout,timeout,timeout,timeout
bcb2104a3558d87ac3b2107c10d54648,mp1-blockpuzzle_5x12_s6_free3.cnf.xz,271.97,27.94,15.59,172.82,94.36,129.07,memout
bcc62a99a3251d2ffbab83d65f8252a5,crafted_n12_d6_c3_num28.cnf.xz,396.45,158.43,24.14,361.41,380.14,461.52,260.24
bd294be907fd8ca6cbc3f4648bfdc6cd,MVD_ADS_S9_6_6.cnf.xz,9.87,18.12,3.21,716.17,timeout,timeout,2.71
bd9c3ce8c75df3a94eda414514ac5b3a,php14e14.cnf.xz,timeout,101.44,timeout,memout,timeout,timeout,timeout
bdc4dfc5ebf0274dcb18dd236773fcfa,sum_of_3_cubes_94_bits_30.cnf.xz,timeout,23.50,memout,timeout,timeout,timeout,timeout
be6bce96bab9cec47b58b6c68c9a1c89,9dlx_vliw_at_b_iq8.cnf.xz,timeout,39.78,100.31,timeout,885.68,memout,885.49
be6c656f34ba9ada4bb10a2182a6fa88,vlsat2_142_6781.cnf.xz,memout,22.52,timeout,timeout,4348.57,timeout,timeout
bf423e868f17d482233adb880abfb92a,sp5-26-19-bin-stri-flat-noid.cnf.xz,67.91,11.84,8.72,84.56,19.88,180.77,memout
bf86868ef6662a4984e5d5504b01193e,string_compare_safety_cbmc_unwinding_930.cnf.xz,memout,196.05,222.90,timeout,memout,memout,memout
c07b76b106bb3c412377bc2564b93022,Sz512_15128_1.smt2.cnf.xz,265.63,85.80,46.16,105.50,177.20,174.51,61.50
c08b00ee4667b900f38c60ea521be6e7,ktf_TF-3.tf_4_0.04_48.cnf.xz,timeout,81.79,timeout,timeout,timeout,timeout,memout
c0c075a8f79bc59293c30651afc71b33,edit_distance025_449.cnf.xz,830.86,6.92,501.57,262.64,timeout,timeout,memout
c1484d43c95d76184dbe50ac5fc98854,satch2ways17w.cnf.xz,timeout,14.12,timeout,memout,timeout,timeout,memout
