hash,result,filename,painlessmaple,pakis,mallobparallel,pmcomsps,pmcomspscom,abcdparascavel,pmcomspsstrsc,mergehordesatparallel,plingeling
e9bd4a210195e83cf64cae1aaf5a36a0,sat,size_5_5_5_i251_r12.cnf.xz,749.34,9.03,123.77,210.23,303.25,timeout,31.24,113.73,1120.12
eb09e5484eaf494d6c1abe60c5b38b7e,sat,sp5-26-19-bin-nons-tree-noid.cnf.xz,231.24,30.06,2229.34,905.50,45.33,timeout,86.36,169.72,2223.92
eb92c7c6b92379e55b91bc764632d65e,unsat,crafted_n10_d6_c4_num15.cnf.xz,341.51,155.32,46.01,233.73,208.08,171.83,211.63,295.83,73.56
ecd91912911f079da6b66ee6afd8e716,unsat,crafted_n10_d6_c4_num21.cnf.xz,328.01,191.72,45.39,260.60,219.86,725.21,305.76,288.97,65.53
eda4aa84aeeb306468396fa82a6bba5a,sat,pb_300_05_lb_17.cnf.xz,49.33,35.53,54.54,66.82,57.86,memout,58.16,157.96,73.87
ee3d0bbbe59d1d3d1a087df411d44626,unknown,sum_of_3_cubes_87_bits_75.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
ef4508038f0220f285640f4f9f1da640,unknown,satch2ways18u.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
ef64bc4d3c2505574e067eb50b48ffd4,sat,HCP-522-105.cnf.xz,timeout,54.33,4099.71,150.28,153.32,timeout,128.58,85.76,1439.38
ef673597d33e9c4952ac883ceb96cbab,unsat,k2fix_gr_rcs_w8.shuffled.cnf.xz,17.59,2.21,166.37,161.78,225.77,14.10,212.80,42.30,647.51
effa19cc18a6c3faca19761028bb0a0e,unknown,SC21_Timetable_C_121_E_34_Cl_8_S_4.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
f157df1208c06caaa5cf11371704b87b,unsat,edit_distance041_182.cnf.xz,106.92,207.43,38.53,26.27,26.26,90.22,37.45,94.35,54.15
f293dc11e842227dd1a49fe1571bcb8b,unsat,mp1-tri_ali_s11_c35_abix_UNS.cnf.xz,20.04,73.03,17.49,10.13,11.12,21.12,12.55,29.52,97.25
f4a15cbf0cc8bc993e29f82e7d8e9563,sat,HCP-529-60.cnf.xz,250.68,37.29,425.73,780.43,744.55,memout,147.28,116.81,2633.73
f51d3940d97c1019081744d94bf08778,unsat,MVD_ADS_S4_5_5.cnf.xz,735.54,2.01,1.70,1865.41,1905.39,689.83,2118.35,10.78,198.28
f746dae2050dd4aa48bcd53e8bd897b4,sat,ex065_25.cnf.xz,1742.62,100.38,3868.95,1932.21,413.96,timeout,358.96,46.64,timeout
fab5698f06861b62c881c77630fbcd4d,sat,Kakuro-easy-142-ext.xml.hg_8.cnf.xz,290.78,240.29,2726.77,192.64,423.92,memout,383.20,765.27,1690.72
faea4b579b0010b32f001ac4b5b9415a,unsat,rphp4_090_shuffled.cnf.xz,1321.38,1739.29,153.03,275.25,271.23,1830.08,263.27,timeout,2957.50
fb621b2b4a54ec0f01ac36daaa7f0f5b,sat,HCP-470-105.cnf.xz,1447.13,647.45,765.39,558.38,490.38,memout,649.26,2418.72,1550.83
fdfd5975c57d7cd2264ef6aff6cb4815,sat,SE_PR_stb_588_138.apx_1.cnf.xz,102.09,1.02,6.88,106.18,74.16,memout,126.20,110.41,312.35
ff4b033c2a2da4100f0b1e83c49c5f80,sat,Circuit_multiplier25.cnf.xz,281.17,1605.29,103.58,3658.85,timeout,timeout,2382.10,1170.04,143.95
