hash,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,CleanMaple,CleanMaple_PriPro,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
d9fe50de72fb34ea94518c32d8f3077c,hitag2-7-60-0-0xe8fa35372ed37e2-80.cnf.xz,3958.06,2911.97,2905.61,4190.29,3869.05,4416.33,timeout,4386.15,4492.86,timeout,timeout,3222.13,4931.72,4934.2,2344.62,2426.87,2614.53,2929.39,2492.24,2267.67,2565.55,4275.48,3408.38,4770.35,3431.86,timeout,timeout,timeout,timeout,timeout,timeout,3938.94,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4863.64,4852.12,timeout,4762.72,timeout,4087.85,4362.8
dad81d8f80b415ff7ca9544e5705ce65,hitag2-7-60-0-0xe97b5f1bee04d70-47.cnf.xz,3531.24,2277.08,2226.14,3219.17,3254.75,3369.03,4591.85,4434.24,3441.98,timeout,timeout,2601.19,3794.75,3673.28,1823.98,1894.89,1815.39,2347.4,2001.42,1918.64,1996.01,3232.29,2748.27,3854.34,2581.93,4264.1,unverified,unverified,3346.47,4368.05,3706.53,2238.04,3719.75,3773.99,timeout,timeout,4522.01,timeout,timeout,2327.21,3398.94,4781.74,4142.27,3865.58,3684.48,3501.83
dc306e55bbd71adf6e14a7e3e0aa8b4a,sha256__zeroOut_10__freeIn_14__seed_2.cnf.xz,2368.04,1807.83,1805.22,2378.48,1559.99,2311.36,2870.1,2304.59,2323.96,timeout,3294.49,2029.91,timeout,2778.74,timeout,timeout,4258.77,3391.03,timeout,timeout,2218.9,3669.62,timeout,timeout,timeout,444.943,580.306,457.872,740.385,728.359,1254.58,726.683,900.484,1591.82,2486.64,1986.75,621.486,649.943,846.153,945.381,540.817,804.044,567.328,528.787,535.895,790.709
e0bf26a7527cd162c7d3016d4b2ab9fb,md5_48_1.cnf.xz,126.859,147.104,147.304,210.771,283.121,85.5899,227.269,160.132,140.649,timeout,3093.77,118.254,54.4815,84.0051,257.901,149.388,82.0061,1040.33,82.506,94.0745,212.15,76.88,372.179,141.737,37.2673,80.3617,362.635,396.097,1035.27,1023.33,342.82,235.199,708.984,1195.76,582.279,32.659,705.77,330.176,1200.57,74.6951,1924.16,250.561,341.517,127.118,1722.19,1673.85
e1dab34a860cef937ad5831e428162c7,arcfour_initialPermutation_6_16.cnf.xz,952.624,761.338,742.032,965.77,1063.85,932.336,925.703,1055.84,1096.48,timeout,timeout,1843.46,914.748,1011.3,862.829,981.838,943.604,1084.88,965.044,945.827,897.577,993.311,1006.05,1032.97,1063.8,1505.33,unverified,unverified,1497.68,1501.62,1509.66,1589.23,1515.47,1508.29,1584.07,1549.18,1534.35,1731.74,1630.65,1528.89,1471.48,1503.13,1576.35,1542.91,1534.8,1525.14
e2b14e253ef1170cbb7b51ce527f3c09,sha1__zeroOut_15__freeIn_19__seed_2.cnf.xz,549.031,385.458,394.123,314.955,1127.95,1055.17,956.447,421.448,722.451,3807.05,3112.23,878.058,554.465,2020.38,1123.72,589.171,1471.76,1023.72,620.193,2041.26,767.553,419.053,464.211,1396.48,873.131,684.756,334.477,626.587,322.205,323.044,445.418,604.546,469.282,503.851,1349.07,1189.05,239.896,1183.17,262.412,753.385,196.82,252.193,604.817,467.516,655.015,304.09
e2cc6f2ab367ffc3005b74e65c6b695a,sha256__zeroOut_03__freeIn_07__seed_1.cnf.xz,154.292,29.5418,29.4789,91.5507,608.547,38.9867,339.468,115.5,394.924,1003.12,1806.03,265.83,136.335,12.549,571.343,1270.58,556.934,566.727,972.592,940.509,778.312,606.489,123.755,112.403,50.4003,88.1319,178.089,208.538,176.701,176.429,196.353,210.034,202.007,223.25,526.914,329.694,91.5827,209.327,104.337,524.09,133.83,303.454,131.459,111.127,201.462,133.045
e49c74a1a8fe62b06ec7ea9873f30749,ssAES_4-4-4_round_7-10_faultAt_8_fault_injections_2_seed_1564286498.cnf.xz,104.708,58.6512,57.6201,147.296,52.0422,56.9868,104.409,197.897,64.6423,1508.35,1407.5,65.1621,72.3442,70.2814,166.44,73.72,82.167,1656.27,339.205,726.362,168.538,60.4782,167.386,68.6356,11.9039,177.099,388.75,194.752,66.5858,66.9851,1642.58,263.592,77.4638,1650.32,37.7285,232.52,168.784,88.2014,37.3453,114.043,583.883,55.6507,79.6759,94.1756,88.1174,184.688
e65663fd41bc29694d683ec57b7d72a4,g2-mizh-md5-48-5.cnf.xz,47.2409,140.598,138.902,267.339,12.2134,42.5445,146.565,126.075,177.094,722.788,3181.29,138.251,232.132,84.5419,76.0433,56.7238,350.29,932.885,520.081,187.946,60.4988,201.17,61.7825,252.835,89.2543,274.347,329.397,77.6243,943.438,920.285,1472.95,420.589,736.967,183.119,184.819,58.6836,222.116,115.116,508.322,396.211,1512.65,1356.83,1341.36,1281.58,129.426,752.352
e6a8f20f267e004218a660d1a08ba380,sha256__zeroOut_07__freeIn_11__seed_2.cnf.xz,363.519,1909.37,1891.27,2205.72,2337.35,1961.62,240.018,993.105,1319.29,3279.33,529.552,1859.83,1580.92,1013.62,timeout,timeout,817.908,2589.03,3486.36,4731.1,timeout,2244.66,3485,3424.44,3900.38,603.716,613.56,200.697,718.815,722.343,780.771,621.54,491.555,550.242,2195.96,2036.92,269.57,196.66,420.164,486.355,510.26,905.442,580.725,564.706,205.396,576.659
